"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\paavo\Desktop\interpreter\AST\AssignmentNode.java", "Java", 49, 3, 16, 68
"c:\Users\paavo\Desktop\interpreter\AST\DeclAndAssignNode.java", "Java", 43, 1, 13, 57
"c:\Users\paavo\Desktop\interpreter\AST\DeclarationNode.java", "Java", 30, 0, 9, 39
"c:\Users\paavo\Desktop\interpreter\AST\FloatNode.java", "Java", 19, 0, 8, 27
"c:\Users\paavo\Desktop\interpreter\AST\InstanceNode.java", "Java", 21, 0, 8, 29
"c:\Users\paavo\Desktop\interpreter\AST\IntNode.java", "Java", 19, 0, 8, 27
"c:\Users\paavo\Desktop\interpreter\AST\ListNode.java", "Java", 25, 0, 12, 37
"c:\Users\paavo\Desktop\interpreter\AST\NoOp.java", "Java", 14, 0, 5, 19
"c:\Users\paavo\Desktop\interpreter\AST\Node.java", "Java", 10, 3, 5, 18
"c:\Users\paavo\Desktop\interpreter\AST\NodeReturn.java", "Java", 9, 0, 5, 14
"c:\Users\paavo\Desktop\interpreter\AST\NodeUtil.java", "Java", 35, 4, 15, 54
"c:\Users\paavo\Desktop\interpreter\AST\ReturnNode.java", "Java", 22, 0, 8, 30
"c:\Users\paavo\Desktop\interpreter\AST\StringNode.java", "Java", 20, 0, 8, 28
"c:\Users\paavo\Desktop\interpreter\AST\VarNode.java", "Java", 37, 1, 17, 55
"c:\Users\paavo\Desktop\interpreter\AST\arithmeticNodes\BinaryNode.java", "Java", 69, 4, 17, 90
"c:\Users\paavo\Desktop\interpreter\AST\arithmeticNodes\UnaryMinus.java", "Java", 25, 0, 8, 33
"c:\Users\paavo\Desktop\interpreter\AST\classes\ClassDeclarationNode.java", "Java", 37, 2, 11, 50
"c:\Users\paavo\Desktop\interpreter\AST\classes\ClassInstance.java", "Java", 10, 0, 6, 16
"c:\Users\paavo\Desktop\interpreter\AST\classes\InstanceAssignmentNode.java", "Java", 46, 3, 17, 66
"c:\Users\paavo\Desktop\interpreter\AST\classes\NewInstanceNode.java", "Java", 55, 7, 19, 81
"c:\Users\paavo\Desktop\interpreter\AST\conditional\ComparisonNode.java", "Java", 87, 10, 22, 119
"c:\Users\paavo\Desktop\interpreter\AST\conditional\IfNode.java", "Java", 32, 0, 12, 44
"c:\Users\paavo\Desktop\interpreter\AST\conditional\WhileNode.java", "Java", 34, 0, 12, 46
"c:\Users\paavo\Desktop\interpreter\AST\functions\FunctionCallNode.java", "Java", 73, 9, 22, 104
"c:\Users\paavo\Desktop\interpreter\AST\functions\FunctionDefNode.java", "Java", 30, 0, 8, 38
"c:\Users\paavo\Desktop\interpreter\AST\functions\FunctionNode.java", "Java", 30, 1, 11, 42
"Total", "-", 881, 48, 302, 1231